frame,class,confidence,x1,y1,x2,y2,width_px,height_px,area_px2
211,UAV,0.3398,882.3,211.8,940.2,250.6,57.9,38.8,2248.7
212,UAV,0.2858,885.4,210.9,938.2,252.0,52.9,41.1,2171.2
213,UAV,0.4990,887.3,212.9,941.9,252.3,54.6,39.4,2148.4
214,UAV,0.3775,887.3,211.8,941.9,251.7,54.6,39.9,2179.1
215,UAV,0.2197,885.9,212.1,939.9,252.6,54.0,40.5,2187.0
216,UAV,0.5370,887.6,214.5,942.8,252.4,55.1,38.0,2093.0
217,UAV,0.4359,889.0,211.8,942.5,253.4,53.4,41.6,2224.3
218,UAV,0.6540,888.8,215.7,941.6,254.0,52.9,38.2,2022.5
219,UAV,0.6514,887.6,215.7,943.9,254.0,56.2,38.2,2151.6
220,UAV,0.4235,885.9,214.7,941.1,255.5,55.1,40.8,2248.1
221,UAV,0.5554,888.8,216.4,943.9,256.1,55.1,39.7,2186.1
223,UAV,0.7058,886.8,218.5,944.7,258.5,57.9,39.9,2313.9
224,UAV,0.4844,886.2,217.7,940.8,259.9,54.6,42.2,2301.9
225,UAV,0.5983,887.1,217.5,944.4,259.5,57.4,41.9,2404.4
226,UAV,0.7356,886.5,220.6,943.9,260.9,57.4,40.2,2307.6
227,UAV,0.3598,887.1,219.0,941.1,261.4,54.0,42.5,2293.3
228,UAV,0.7210,886.8,220.1,944.7,262.5,57.9,42.5,2460.5
229,UAV,0.7341,888.2,221.5,943.3,263.4,55.1,41.9,2310.1
230,UAV,0.5205,884.5,222.8,940.2,263.8,55.7,41.1,2286.7
231,UAV,0.4168,888.5,223.3,943.0,263.8,54.6,40.5,2209.8
232,UAV,0.5506,884.0,226.0,943.0,264.5,59.1,38.5,2275.8
233,UAV,0.1624,887.1,225.4,942.2,264.0,55.1,38.5,2124.0
234,UAV,0.4610,884.5,225.0,942.5,266.1,57.9,41.1,2379.1
235,UAV,0.1971,888.2,227.2,942.2,267.2,54.0,39.9,2156.6
236,UAV,0.3290,881.4,226.8,939.9,268.2,58.5,41.3,2418.6
237,UAV,0.5851,885.4,229.1,941.6,269.3,56.2,40.2,2262.3
239,UAV,0.4659,882.6,230.5,941.1,270.1,58.5,39.7,2319.9
240,UAV,0.1700,886.2,230.1,938.5,271.7,52.3,41.6,2177.5
241,UAV,0.2210,884.2,233.9,938.2,266.8,54.0,32.9,1776.9
242,UAV,0.3785,886.2,233.6,938.5,272.7,52.3,39.1,2045.1
244,UAV,0.5917,881.7,234.6,938.5,275.1,56.8,40.5,2300.9
245,UAV,0.6926,881.7,234.8,938.5,277.6,56.8,42.8,2428.7
246,UAV,0.4562,884.2,236.4,934.9,277.7,50.6,41.3,2093.0
247,UAV,0.3998,878.1,238.5,933.2,279.6,55.1,41.1,2263.6
248,UAV,0.6142,877.2,238.5,934.0,280.7,56.8,42.2,2396.8
249,UAV,0.2751,878.6,240.5,933.8,282.1,55.1,41.6,2294.6
251,UAV,0.3518,874.4,243.6,932.3,285.8,57.9,42.2,2444.2
252,UAV,0.4388,873.6,245.2,930.9,286.3,57.4,41.1,2356.0
253,UAV,0.2299,873.6,246.8,927.6,286.5,54.0,39.7,2141.4
254,UAV,0.4455,872.2,248.5,925.6,289.3,53.4,40.8,2179.2
255,UAV,0.2053,871.9,247.6,925.9,290.1,54.0,42.5,2293.3
256,UAV,0.2302,869.3,250.3,926.2,291.4,56.8,41.1,2332.9
257,UAV,0.5332,867.1,252.6,923.9,294.2,56.8,41.6,2364.8
258,UAV,0.7050,865.4,254.0,923.3,296.2,57.9,42.2,2444.2
259,UAV,0.6960,864.6,255.8,920.8,297.7,56.2,41.9,2357.2
260,UAV,0.6325,865.7,257.8,918.6,299.1,52.9,41.3,2186.1
261,UAV,0.5166,861.2,259.2,916.3,301.1,55.1,41.9,2310.1
262,UAV,0.1587,859.5,261.7,913.5,299.7,54.0,38.0,2050.3
263,UAV,0.6243,858.4,263.5,913.5,304.0,55.1,40.5,2232.6
264,UAV,0.4504,855.6,265.5,912.9,307.1,57.4,41.6,2388.2
265,UAV,0.6086,852.8,266.1,910.1,309.4,57.4,43.3,2485.1
266,UAV,0.3482,850.8,268.3,906.5,309.9,55.7,41.6,2318.0
267,UAV,0.4484,848.2,270.0,903.4,312.8,55.1,42.8,2356.6
268,UAV,0.6918,848.2,272.2,902.2,314.4,54.0,42.2,2278.1
269,UAV,0.6379,847.4,273.9,900.8,316.7,53.4,42.8,2284.5
270,UAV,0.5438,842.6,277.2,898.9,318.0,56.2,40.8,2293.9
271,UAV,0.5312,840.7,280.1,894.1,319.5,53.4,39.4,2104.1
272,UAV,0.3657,838.4,281.1,889.6,320.8,51.2,39.7,2029.9
274,UAV,0.1686,833.3,285.8,885.7,326.2,52.3,40.5,2118.7
275,UAV,0.4494,832.2,287.9,882.3,327.5,50.1,39.7,1985.3
276,UAV,0.2902,831.9,289.4,881.4,328.8,49.5,39.4,1949.1
277,UAV,0.3128,827.2,295.2,876.1,328.1,48.9,32.9,1610.3
278,UAV,0.5708,823.5,294.9,871.9,334.0,48.4,39.1,1891.2
281,UAV,0.3739,811.7,301.5,862.3,343.1,50.6,41.6,2107.3
282,UAV,0.4591,809.2,306.3,860.3,345.7,51.2,39.4,2015.5
283,UAV,0.2404,807.5,308.2,857.5,346.5,50.1,38.2,1914.9
284,UAV,0.3877,804.1,309.0,854.2,349.2,50.1,40.2,2013.5
285,UAV,0.5689,799.3,313.5,849.9,353.7,50.6,40.2,2036.1
287,UAV,0.3639,793.7,318.5,842.1,357.6,48.4,39.1,1891.2
288,UAV,0.2572,791.7,322.6,837.3,358.0,45.6,35.4,1614.6
289,UAV,0.4922,787.2,323.9,832.8,362.4,45.6,38.5,1755.6
290,UAV,0.2365,781.6,326.2,829.4,363.9,47.8,37.7,1801.9
291,UAV,0.1868,779.6,327.4,826.9,366.8,47.2,39.4,1860.5
