frame,class,confidence,x1,y1,x2,y2,width_px,height_px,area_px2
723,UAV,0.2886,325.4,323.8,379.6,361.2,54.2,37.5,2034.4
724,UAV,0.2814,325.4,323.8,379.6,361.2,54.2,37.5,2034.4
725,UAV,0.2689,325.4,323.9,379.6,361.1,54.2,37.2,2020.8
725,UAV,0.1538,395.5,292.9,437.0,328.1,41.5,35.2,1462.9
726,UAV,0.2465,325.5,323.8,379.5,361.2,54.0,37.5,2025.0
727,UAV,0.2751,325.6,323.8,379.4,361.2,53.8,37.5,2015.6
727,UAV,0.1533,395.5,292.8,437.0,327.8,41.5,35.0,1452.5
728,UAV,0.2767,325.6,323.8,379.4,361.2,53.8,37.5,2015.6
728,UAV,0.1561,395.5,292.9,437.0,328.1,41.5,35.2,1462.9
729,UAV,0.3140,325.6,323.8,379.4,361.2,53.8,37.5,2015.6
729,UAV,0.1755,395.5,292.9,437.0,328.1,41.5,35.2,1462.9
730,UAV,0.2967,325.6,323.8,379.4,361.2,53.8,37.5,2015.6
730,UAV,0.1530,395.5,292.9,437.0,328.1,41.5,35.2,1462.9
731,UAV,0.2886,325.6,323.8,379.4,361.2,53.8,37.5,2015.6
731,UAV,0.1548,395.5,292.9,437.0,328.1,41.5,35.2,1462.9
732,UAV,0.2775,325.9,324.2,379.1,360.8,53.2,36.5,1943.6
732,UAV,0.2553,395.1,292.9,436.9,328.1,41.8,35.2,1471.7
733,UAV,0.2838,326.0,324.1,379.5,360.9,53.5,36.8,1966.1
733,UAV,0.2154,395.1,292.9,436.9,328.1,41.8,35.2,1471.7
734,UAV,0.2539,325.9,324.1,379.1,360.9,53.2,36.8,1956.9
734,UAV,0.2050,573.2,237.9,600.8,265.1,27.5,27.2,749.4
734,UAV,0.1755,395.1,292.8,436.9,328.2,41.8,35.5,1482.1
735,UAV,0.2767,326.0,324.1,379.5,360.9,53.5,36.8,1966.1
735,UAV,0.2140,395.0,292.8,437.0,328.2,42.0,35.5,1491.0
735,UAV,0.1981,573.2,238.0,600.8,265.0,27.5,27.0,742.5
736,UAV,0.2846,325.9,324.0,379.1,361.0,53.2,37.0,1970.2
736,UAV,0.2268,395.0,292.8,437.0,328.2,42.0,35.5,1491.0
736,UAV,0.1999,573.2,237.9,600.8,265.1,27.5,27.2,749.4
737,UAV,0.2644,325.9,324.1,379.1,360.9,53.2,36.8,1956.9
737,UAV,0.2379,573.2,238.0,600.8,265.0,27.5,27.0,742.5
737,UAV,0.2234,395.0,292.9,437.0,328.1,42.0,35.2,1480.5
738,UAV,0.2568,325.9,324.1,379.1,360.9,53.2,36.8,1956.9
738,UAV,0.2379,395.0,292.9,437.0,328.1,42.0,35.2,1480.5
738,UAV,0.2261,573.2,238.0,600.8,265.0,27.5,27.0,742.5
739,UAV,0.2886,325.6,324.0,379.4,361.0,53.8,37.0,1988.8
739,UAV,0.2422,395.0,292.8,437.0,328.2,42.0,35.5,1491.0
739,UAV,0.2316,573.2,238.0,600.8,265.0,27.5,27.0,742.5
740,UAV,0.3251,325.9,324.0,379.1,361.0,53.2,37.0,1970.2
740,UAV,0.2674,395.0,292.9,437.0,328.1,42.0,35.2,1480.5
740,UAV,0.2330,573.2,238.0,600.8,265.0,27.5,27.0,742.5
741,UAV,0.3191,326.0,324.0,379.5,361.0,53.5,37.0,1979.5
741,UAV,0.2910,395.0,292.8,437.0,328.2,42.0,35.5,1491.0
741,UAV,0.2282,573.2,238.0,600.8,265.0,27.5,27.0,742.5
742,UAV,0.3183,326.0,324.0,379.5,361.0,53.5,37.0,1979.5
742,UAV,0.2783,395.0,292.8,437.0,328.2,42.0,35.5,1491.0
742,UAV,0.2234,573.2,238.0,600.8,265.0,27.5,27.0,742.5
743,UAV,0.3024,325.6,323.9,379.4,361.1,53.8,37.2,2002.2
743,UAV,0.2386,395.0,292.8,437.0,328.2,42.0,35.5,1491.0
743,UAV,0.2214,573.2,238.0,600.8,265.0,27.5,27.0,742.5
744,UAV,0.3016,327.1,324.1,379.9,360.9,52.8,36.8,1938.6
744,UAV,0.1518,395.0,292.5,437.0,328.0,42.0,35.5,1491.0
745,UAV,0.3407,326.6,324.1,379.4,360.9,52.8,36.8,1938.6
746,UAV,0.3549,326.6,324.1,379.4,360.9,52.8,36.8,1938.6
747,UAV,0.3549,326.6,324.1,379.4,360.9,52.8,36.8,1938.6
747,UAV,0.1672,572.2,238.4,599.8,265.6,27.5,27.2,749.4
748,UAV,0.3522,326.6,324.1,379.4,360.9,52.8,36.8,1938.6
748,UAV,0.1733,572.2,238.4,599.8,265.6,27.5,27.2,749.4
749,UAV,0.3433,326.6,324.1,379.4,360.9,52.8,36.8,1938.6
749,UAV,0.1744,572.2,238.4,599.8,265.6,27.5,27.2,749.4
750,UAV,0.3381,327.0,324.2,379.5,361.2,52.5,37.0,1942.5
750,UAV,0.1697,572.2,238.4,599.8,265.6,27.5,27.2,749.4
751,UAV,0.3425,326.6,324.1,379.4,360.9,52.8,36.8,1938.6
751,UAV,0.1727,572.2,238.4,599.8,265.6,27.5,27.2,749.4
752,UAV,0.3355,327.0,324.1,379.5,360.9,52.5,36.8,1929.4
752,UAV,0.1727,572.2,238.4,599.8,265.6,27.5,27.2,749.4
753,UAV,0.3666,327.2,324.1,379.8,360.9,52.5,36.8,1929.4
753,UAV,0.1686,572.2,238.4,599.8,265.6,27.5,27.2,749.4
754,UAV,0.3849,327.4,324.1,379.6,360.9,52.2,36.8,1920.2
754,UAV,0.1901,572.2,238.4,599.8,265.6,27.5,27.2,749.4
755,UAV,0.3942,327.4,324.1,379.6,360.9,52.2,36.8,1920.2
755,UAV,0.1761,572.2,238.4,599.8,265.6,27.5,27.2,749.4
756,UAV,0.3225,326.5,324.5,380.0,361.0,53.5,36.5,1952.8
756,UAV,0.2918,394.2,292.9,436.8,328.1,42.5,35.2,1498.1
757,UAV,0.3785,326.1,324.1,379.9,360.9,53.8,36.8,1975.3
757,UAV,0.2720,394.2,292.9,436.8,328.1,42.5,35.2,1498.1
758,UAV,0.3914,326.0,324.1,380.0,360.9,54.0,36.8,1984.5
758,UAV,0.2697,394.2,292.9,436.8,328.1,42.5,35.2,1498.1
759,UAV,0.3639,326.0,324.2,380.0,361.2,54.0,37.0,1998.0
759,UAV,0.2480,394.2,292.9,436.8,328.1,42.5,35.2,1498.1
760,UAV,0.3531,326.0,324.2,380.0,361.2,54.0,37.0,1998.0
760,UAV,0.2444,394.0,293.0,437.0,328.5,43.0,35.5,1526.5
761,UAV,0.3675,326.0,324.2,380.0,361.2,54.0,37.0,1998.0
761,UAV,0.2401,394.0,293.0,437.0,328.5,43.0,35.5,1526.5
762,UAV,0.3451,326.0,324.2,380.0,361.2,54.0,37.0,1998.0
762,UAV,0.2344,394.2,293.0,436.8,328.5,42.5,35.5,1508.8
763,UAV,0.3486,326.0,324.2,380.0,361.2,54.0,37.0,1998.0
763,UAV,0.2288,394.2,292.9,436.8,328.1,42.5,35.2,1498.1
764,UAV,0.3549,326.0,324.2,380.0,361.2,54.0,37.0,1998.0
764,UAV,0.2351,394.2,293.0,436.8,328.5,42.5,35.5,1508.8
765,UAV,0.3666,326.0,324.2,380.0,361.2,54.0,37.0,1998.0
765,UAV,0.2458,394.2,292.9,436.8,328.1,42.5,35.2,1498.1
766,UAV,0.3648,326.1,324.2,379.9,361.2,53.8,37.0,1988.8
766,UAV,0.2394,394.2,292.9,436.8,328.1,42.5,35.2,1498.1
767,UAV,0.3549,326.1,324.2,379.9,361.2,53.8,37.0,1988.8
767,UAV,0.2344,394.2,292.9,436.8,328.1,42.5,35.2,1498.1
768,UAV,0.3407,326.5,324.4,380.5,360.6,54.0,36.2,1957.5
768,UAV,0.1564,396.1,292.9,436.9,328.1,40.8,35.2,1436.4
769,UAV,0.3612,326.4,324.2,380.6,360.8,54.2,36.5,1980.1
769,UAV,0.1705,396.1,292.9,436.9,328.1,40.8,35.2,1436.4
770,UAV,0.3390,326.5,324.2,380.5,360.8,54.0,36.5,1971.0
770,UAV,0.1716,396.1,292.9,436.9,328.1,40.8,35.2,1436.4
771,UAV,0.3766,326.4,324.2,380.6,360.8,54.2,36.5,1980.1
771,UAV,0.1883,396.1,292.9,436.9,328.1,40.8,35.2,1436.4
772,UAV,0.3381,326.4,324.2,380.6,360.8,54.2,36.5,1980.1
772,UAV,0.1848,396.1,292.9,436.9,328.1,40.8,35.2,1436.4
773,UAV,0.3549,326.2,324.2,380.8,360.8,54.5,36.5,1989.2
773,UAV,0.1755,396.1,292.9,436.9,328.1,40.8,35.2,1436.4
774,UAV,0.3576,326.8,324.2,380.8,360.8,54.0,36.5,1971.0
774,UAV,0.1767,396.5,292.8,437.0,327.8,40.5,35.0,1417.5
775,UAV,0.3140,327.2,324.0,380.8,360.5,53.5,36.5,1952.8
776,UAV,0.2975,327.1,324.0,380.9,360.5,53.8,36.5,1961.9
777,UAV,0.4321,328.0,324.0,381.0,360.5,53.0,36.5,1934.5
778,UAV,0.4688,328.1,324.0,380.9,360.5,52.8,36.5,1925.4
778,UAV,0.1611,396.2,292.5,436.8,328.0,40.5,35.5,1437.8
779,UAV,0.5283,328.1,324.0,380.9,360.5,52.8,36.5,1925.4
779,UAV,0.1510,396.1,292.6,436.9,328.4,40.8,35.8,1456.8
780,UAV,0.2918,325.8,324.5,379.8,361.0,54.0,36.5,1971.0
781,UAV,0.2975,325.5,324.6,379.5,361.4,54.0,36.8,1984.5
781,UAV,0.1513,573.2,238.2,600.8,265.2,27.5,27.0,742.5
782,UAV,0.3074,325.5,324.6,379.5,361.4,54.0,36.8,1984.5
782,UAV,0.1533,573.2,238.2,600.8,265.2,27.5,27.0,742.5
783,UAV,0.2991,325.4,324.6,379.6,361.4,54.2,36.8,1993.7
783,UAV,0.1569,573.2,238.2,600.8,265.2,27.5,27.0,742.5
784,UAV,0.3016,325.5,324.8,380.0,361.2,54.5,36.5,1989.2
784,UAV,0.1525,573.2,238.2,600.8,265.2,27.5,27.0,742.5
785,UAV,0.2950,325.5,324.8,380.0,361.2,54.5,36.5,1989.2
785,UAV,0.1508,573.2,238.2,600.8,265.2,27.5,27.0,742.5
786,UAV,0.3049,325.5,324.6,380.0,361.4,54.5,36.8,2002.9
787,UAV,0.3032,325.5,324.6,380.0,361.4,54.5,36.8,2002.9
787,UAV,0.1574,573.2,238.2,600.8,265.2,27.5,27.0,742.5
788,UAV,0.3166,325.5,324.8,380.0,361.2,54.5,36.5,1989.2
788,UAV,0.1533,573.2,238.2,600.8,265.2,27.5,27.0,742.5
789,UAV,0.2862,325.5,324.6,380.0,361.4,54.5,36.8,2002.9
790,UAV,0.3065,325.5,324.6,380.0,361.4,54.5,36.8,2002.9
790,UAV,0.1518,396.0,292.9,437.0,328.1,41.0,35.2,1445.2
791,UAV,0.3065,325.5,324.8,380.0,361.2,54.5,36.5,1989.2
792,UAV,0.4630,327.0,324.9,379.5,361.1,52.5,36.2,1903.1
792,UAV,0.1616,394.5,293.0,437.0,328.5,42.5,35.5,1508.8
793,UAV,0.4630,326.6,324.9,379.4,361.1,52.8,36.2,1912.2
793,UAV,0.1722,394.1,293.0,436.9,328.5,42.8,35.5,1517.6
793,UAV,0.1697,572.2,238.4,599.8,265.6,27.5,27.2,749.4
794,UAV,0.4216,327.0,325.0,379.5,361.0,52.5,36.0,1890.0
794,UAV,0.1608,572.2,238.4,599.8,265.6,27.5,27.2,749.4
794,UAV,0.1574,394.5,293.0,437.0,328.5,42.5,35.5,1508.8
795,UAV,0.4140,327.0,325.0,379.5,361.0,52.5,36.0,1890.0
795,UAV,0.1548,572.2,238.4,599.8,265.6,27.5,27.2,749.4
796,UAV,0.4321,326.6,325.0,379.4,361.0,52.8,36.0,1899.0
796,UAV,0.1634,572.2,238.4,599.8,265.6,27.5,27.2,749.4
796,UAV,0.1556,394.5,292.9,437.0,328.1,42.5,35.2,1498.1
797,UAV,0.4552,327.0,324.9,379.5,361.1,52.5,36.2,1903.1
